GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
1400000US36005014500,36005014500,"Census Tract 145, Bronx County, New York",28732,9327
1400000US36005014701,36005014701,"Census Tract 147.01, Bronx County, New York",21436,8473
1400000US36005014702,36005014702,"Census Tract 147.02, Bronx County, New York",19425,3068
1400000US36005014900,36005014900,"Census Tract 149, Bronx County, New York",24874,6854
1400000US36005015100,36005015100,"Census Tract 151, Bronx County, New York",33525,8507
1400000US36005015200,36005015200,"Census Tract 152, Bronx County, New York",73622,7258
1400000US36005015300,36005015300,"Census Tract 153, Bronx County, New York",17154,3124
1400000US36005015500,36005015500,"Census Tract 155, Bronx County, New York",17912,2609
1400000US36005015700,36005015700,"Census Tract 157, Bronx County, New York",34738,5787
1400000US36005015800,36005015800,"Census Tract 158, Bronx County, New York",48289,16332
1400000US36005015900,36005015900,"Census Tract 159, Bronx County, New York",17905,3835
1400000US36005016000,36005016000,"Census Tract 160, Bronx County, New York",73841,13557
1400000US36005016100,36005016100,"Census Tract 161, Bronx County, New York",14667,2897
1400000US36005016200,36005016200,"Census Tract 162, Bronx County, New York",71319,35147
1400000US36005016300,36005016300,"Census Tract 163, Bronx County, New York",,
1400000US36005016400,36005016400,"Census Tract 164, Bronx County, New York",78750,14777
1400000US36005016500,36005016500,"Census Tract 165, Bronx County, New York",25403,5226
1400000US36005016600,36005016600,"Census Tract 166, Bronx County, New York",76328,15832
1400000US36005016700,36005016700,"Census Tract 167, Bronx County, New York",29549,4126
1400000US36005016900,36005016900,"Census Tract 169, Bronx County, New York",28064,7551
1400000US36005017100,36005017100,"Census Tract 171, Bronx County, New York",,
1400000US36005017300,36005017300,"Census Tract 173, Bronx County, New York",19406,3536
1400000US36005017500,36005017500,"Census Tract 175, Bronx County, New York",27585,4818
1400000US36005017701,36005017701,"Census Tract 177.01, Bronx County, New York",28090,9762
1400000US36005017702,36005017702,"Census Tract 177.02, Bronx County, New York",29327,10001
1400000US36005017901,36005017901,"Census Tract 179.01, Bronx County, New York",30587,6318
1400000US36005017902,36005017902,"Census Tract 179.02, Bronx County, New York",19396,4754
1400000US36005018101,36005018101,"Census Tract 181.01, Bronx County, New York",24594,5081
1400000US36005018102,36005018102,"Census Tract 181.02, Bronx County, New York",35593,3957
1400000US36005018301,36005018301,"Census Tract 183.01, Bronx County, New York",30990,3901
1400000US36005018302,36005018302,"Census Tract 183.02, Bronx County, New York",33226,5111
1400000US36005018400,36005018400,"Census Tract 184, Bronx County, New York",65099,12546
1400000US36005018500,36005018500,"Census Tract 185, Bronx County, New York",32680,5042
1400000US36005018900,36005018900,"Census Tract 189, Bronx County, New York",26370,4810
1400000US36005019300,36005019300,"Census Tract 193, Bronx County, New York",22761,4456
1400000US36005019400,36005019400,"Census Tract 194, Bronx County, New York",55625,9841
1400000US36005019500,36005019500,"Census Tract 195, Bronx County, New York",28365,4080
1400000US36005019700,36005019700,"Census Tract 197, Bronx County, New York",25302,5972
1400000US36005019900,36005019900,"Census Tract 199, Bronx County, New York",33528,6019
1400000US36005020000,36005020000,"Census Tract 200, Bronx County, New York",43088,7071
1400000US36005020100,36005020100,"Census Tract 201, Bronx County, New York",33938,10130
1400000US36005020200,36005020200,"Census Tract 202, Bronx County, New York",29868,6782
1400000US36005020400,36005020400,"Census Tract 204, Bronx County, New York",45179,24178
1400000US36005020501,36005020501,"Census Tract 205.01, Bronx County, New York",20586,13173
