"year","leaid","lea_name","state_name","city_location","agency_type","enrollment","spec_ed_students","english_language_learners","est_population_total","est_population_5_17","est_population_5_17_pct"
"2016","3600060","RIVERHEAD CHARTER SCHOOL","New York","CALVERTON","Charter agency","409","","96","","",""
"2016","3600061","SISULU-WALKER CHARTER SCHOOL OF HARLEM","New York","NEW YORK","Charter agency","225","","7","","",""
"2016","3600063","BRONX CHARTER SCHOOL FOR THE ARTS","New York","BRONX","Charter agency","320","","51","","",""
"2016","3600066","FAMILY LIFE ACADEMY CHARTER SCHOOL I","New York","BRONX","Charter agency","470","","96","","",""
"2016","3600067","GLOBAL CONCEPTS CHARTER SCHOOL","New York","LACKAWANNA","Charter agency","964","","89","","",""
"2016","3600068","HARLEM PREP CHARTER SCHOOL","New York","NEW YORK","Charter agency","838","","50","","",""
"2016","3600070","SOUTHSIDE ACADEMY CHARTER SCHOOL","New York","SYRACUSE","Charter agency","687","","19","","",""
"2016","3600071","BUFFALO UNITED CHARTER SCHOOL","New York","BUFFALO","Charter agency","660","","3","","",""
"2016","3600073","ENTERPRISE CHARTER SCHOOL","New York","BUFFALO","Charter agency","402","","26","","",""
"2016","3600076","NEW YORK CITY GEOGRAPHIC DISTRICT # 1","New York","NEW YORK","Local school district that is a component of a supervisory union","11394","2528","1054","","",""
"2016","3600077","NEW YORK CITY GEOGRAPHIC DISTRICT # 2","New York","NEW YORK","Local school district that is a component of a supervisory union","62602","11320","5235","","",""
"2016","3600078","NEW YORK CITY GEOGRAPHIC DISTRICT # 3","New York","NEW YORK","Local school district that is a component of a supervisory union","21819","4584","1124","","",""
"2016","3600079","NEW YORK CITY GEOGRAPHIC DISTRICT # 4","New York","NEW YORK","Local school district that is a component of a supervisory union","13314","3966","1425","","",""
"2016","3600080","HARLEM VILLAGE ACADEMY CHARTER SCHOOL","New York","NEW YORK","Charter agency","980","","54","","",""
"2016","3600081","NEW YORK CITY GEOGRAPHIC DISTRICT # 5","New York","NEW YORK","Local school district that is a component of a supervisory union","12240","4656","1184","","",""
"2016","3600082","KIPP STAR COLLEGE PREP CHARTER","New York","NEW YORK","Charter agency","815","","44","","",""
"2016","3600083","NEW YORK CITY GEOGRAPHIC DISTRICT # 6","New York","NEW YORK","Local school district that is a component of a supervisory union","22778","5496","6522","","",""
