,created_at,tweet_id,text,user_id,user_name
26,Fri Jun 07 14:28:11 +0000 2019,1137003325369573377,"RT @TheBarnBurns: Right Now On Fired Up A  ""#WomensWorldCup2019"" Preview from our Friends at @osgsports
&amp; @SoccerDownHere #WorldCup2019
#Fr…",4816259435,TSPN EXTRA
27,Fri Jun 07 14:28:01 +0000 2019,1137003280243015682,RT @BetStarsFR: Place aux femmes : @MathouxHerve propose un gros combiné pour la Coupe du monde féminine ! De quoi lancer la compétition du…,404097912,Hervé MATHOUX
28,Fri Jun 07 14:27:44 +0000 2019,1137003209250213890,"RT @TheBarnBurns: Right Now On Fired Up A  ""#WomensWorldCup2019"" Preview from our Friends at @osgsports
&amp; @SoccerDownHere #WorldCup2019
#Fr…",50146641,Joltin_Joe_P
29,Fri Jun 07 14:27:26 +0000 2019,1137003133366939648,"RT @NatHunter_BBC: The #wwc2019 Women's World Cup starts tonight. To mark the occasion, we'll start constantly asking Scottish politicians…",3159317488,Andy M
30,Fri Jun 07 14:27:24 +0000 2019,1137003127373291521,2 days to go #WWC2019 https://t.co/zmd4XePoYr,2780538278,Keswick FC
31,Fri Jun 07 14:27:20 +0000 2019,1137003107978813441,Lol impossible de faire ma sieste tellement je suis électrique! #jevaisaumatchdouverture #WWC2019 #WWC19… https://t.co/B08pto9DAe,346197403,Sexy Wink ★彡
32,Fri Jun 07 14:27:13 +0000 2019,1137003081378488320,"Women’s football has been growing so quickly over the last few years, and this World Cup is only going to further a… https://t.co/icJV61qTp1",126431696,Willie Kirk
33,Fri Jun 07 14:27:03 +0000 2019,1137003039481565184,"RT @MenendezFaya: Rafa ha borrado el tweet. Hoy empieza el #WWC2019 y esto se llenará de Rafas diciendo que no interesa, que son malísimas…",848199334076305408,aLbus
34,Fri Jun 07 14:26:20 +0000 2019,1137002859050831872,My picks #WWC2019 https://t.co/XsZUQ0qPqC,22104344,Allen Schmitz
35,Fri Jun 07 14:25:43 +0000 2019,1137002701554835461,"RT @KickaroundMag: Today is the day! The #WWC2019 kicks off in Paris tonight – are your children's wallcharts in place?

If you don't have…",90131813,+ + + yugo
36,Fri Jun 07 14:25:35 +0000 2019,1137002668856086528,"#wwc2019 für mich erst ab morgen.

Heute: @ballverliebteu-Leser-Treffen mit gemeinsamem #AutSlo schauen.

Wird cool :-)",21023368,Philipp Eitzinger
37,Fri Jun 07 14:24:56 +0000 2019,1137002507618717696,Women’s World Cup starts TODAY😍 #WWC2019,1155215527,Sahib Sooch
38,Fri Jun 07 14:24:21 +0000 2019,1137002357026414592,"Oggi cominciano i Mondiali femminili di #Francia2019 🇫🇷.

Saranno 7 le Rossonere impegnate:

Laura #Fusetti 🇮🇹
Lind… https://t.co/WKZl4EP41G",874259835545669633,Calciomercato Milan
39,Fri Jun 07 14:34:30 +0000 2019,1137004913509187584,@AmandaBlev @YouTubeTV @Google @USWNT I purchased the guidebook and have fubo to record all of them! Looking forwar… https://t.co/4zv76yKUNM,30920073,Amy Lewis
40,Fri Jun 07 14:34:26 +0000 2019,1137004897973559296,Seen as @BBCMOTD and other media have the likes of @AlexScott as a pundit for top men's games I think it is only fa… https://t.co/4LravJgdNm,718456229727772672,Mike Green
41,Fri Jun 07 14:33:57 +0000 2019,1137004774010888192,"The wait is almost over for #WWC2019, but what's it like to actually win it?

Here's @USWNT head-coach Jill Ellis,… https://t.co/xkQvydrBTg",218290716,Jack Murley
42,Fri Jun 07 14:33:17 +0000 2019,1137004606683328513,#FridayMotivation RT @DalvaVeronica: The @FIFAWWC is my #FridayMotivation! #WorldWomensCup #WWC #WWC2019 #WWC19… https://t.co/5jghA8THku,92677101,Jorge Luis Lopez Esq
43,Fri Jun 07 14:32:55 +0000 2019,1137004512978309120,"RT @beINSPORTS: .@AndyKerrtv is joined by former #Matildas striker @Mheyman23 ahead of the Women's @FIFAWorldCup 👇

#beINWWC #beINSPIRED #W…",37173384,Andy Kerr
44,Fri Jun 07 14:32:40 +0000 2019,1137004451053678593,The @FIFAWWC is my #FridayMotivation! #WorldWomensCup #WWC #WWC2019 #WWC19 #FIFAWWC2019 #FIFAWWC19 #GuerreirasDoBrasil #VamosTorcerJuntas,2276573053,Dalva Verônica 🇧🇷
45,Fri Jun 07 14:32:18 +0000 2019,1137004357898133505,RT @marieclaire_fr: L'Équipe de France féminine de football peut-elle marquer l'histoire du sport ? Rencontre avec les joueuses @kady944 et…,908341228701396992,Manon Duran
46,Fri Jun 07 14:32:15 +0000 2019,1137004345311076353,RT @MimiRangel_: HAPPY FIRST DAY OF THE WOMENS WORLD CUP!!!!! LET THE FUN/MADNESS BEGIN!!!! #USA #WWC2019,528424754,J.LEIVA
47,Fri Jun 07 14:31:52 +0000 2019,1137004250851028992,"RT @Marisun_10: ¡Llegó el día! #Francia2019 🇫🇷

⚽️🏆🏃🏻‍♀️

""It's about what you dream, what you decide and what you dare""

#DareToShine
#WWC…",3012976801,Montse 🎀
48,Fri Jun 07 14:31:34 +0000 2019,1137004175273971712,"Q: How many jobs do you have in addition to playing soccer?
A: Aside from studying, two.

What a vox pop ahead of… https://t.co/24GSWA3PFB",51697615,Donna Bowater
49,Fri Jun 07 14:30:57 +0000 2019,1137004019757539328,"RT @WHS_PEDept: Due to technical difficulties we were unable to LIVE tweet, here are the results from the draw! 

#WWC2019 #WomenInFootball…",744890698529398784,Croydon Schools
50,Fri Jun 07 14:30:41 +0000 2019,1137003950639669249,Cinco jóvenes a las que no perder la pista en el Mundial Femenino #WWC2019 https://t.co/10WQ5qCMBO,26018802,Apuestas Deportivas
51,Fri Jun 07 14:30:17 +0000 2019,1137003850404175873,"@BBCSport @BBCOne ""£24m awarded to participating teams in 2019 albeit a long way short of the £315m prize pot at th… https://t.co/X8JnFWshYJ",718456229727772672,Mike Green
52,Fri Jun 07 14:29:35 +0000 2019,1137003677812760576,"6/12: Germany v Spain (WWC), France v Norway (WWC), Seattle v Portland (MLS)

6/13: Brazil v Australia (WWC)

I'm g… https://t.co/6ob6DsJETC",1301259708,Baby Jake
53,Fri Jun 07 14:28:53 +0000 2019,1137003500393492480,"RT @katetscott: After the first day of #WWC2019 action, join us here on Friday night to watch some of our future @USWNT stars battle for th…",39302176,Krista Blunk
54,Fri Jun 07 14:39:21 +0000 2019,1137006133959434240,"RT @ritaguari: Al via la #wwc2019 e domenica  l'esordio per le nostre #azzurre 🇮🇹💙 Un sogno, un'opportunità, un altro passo in avanti per i…",3023171895,Antonio Romano
55,Fri Jun 07 14:38:57 +0000 2019,1137006031249297408,Who else is excited for the Women’s World Cup to start? We certainly are!🙌🏻🇺🇸🇺🇸 #WWC2019 #USWNT https://t.co/bcBbgpR0ij,1103397800312737792,Star City Syndicate
56,Fri Jun 07 14:38:18 +0000 2019,1137005868736745472,Tis finally here 😬 #WWC2019 https://t.co/sUGndMAgdC,554688108,Nichole Singleton
57,Fri Jun 07 14:36:40 +0000 2019,1137005456663162880,"RT @TheBarnBurns: Right Now On Fired Up A  ""#WomensWorldCup2019"" Preview from our Friends at @osgsports
&amp; @SoccerDownHere #WorldCup2019
#Fr…",1004818795368722432,EMZT Podcast and Productions
58,Fri Jun 07 14:36:22 +0000 2019,1137005383686459392,"RT @tjcope: ⚽ ¡España debuta en el #WWC2019!

 🇪🇸España - Sudáfrica🇿🇦

🏟️Stade Oceane (Le Havre).

🗓️Sábado 8
⌚18.00

🎙️ @rubenmartinweb
🎤…",1030813376388182018,Luís
59,Fri Jun 07 14:36:07 +0000 2019,1137005321962921986,With France opening #WWC2019 today that also makes it #ImissMandy day. Such a phenomenal player.,61599442,Todd Diskin
60,Fri Jun 07 14:35:15 +0000 2019,1137005101963448320,"All 9 year old Liz wanted for Christmas was a Mia Hamm jersey. My mom, had to buy a blank Men’s National Team jerse… https://t.co/pULX9z93bi",27815759,Liz Masucci
61,Fri Jun 07 14:35:06 +0000 2019,1137005064256704513,"RT @ritaguari: Al via la #wwc2019 e domenica  l'esordio per le nostre #azzurre 🇮🇹💙 Un sogno, un'opportunità, un altro passo in avanti per i…",876875610064289793,Laura
62,Fri Jun 07 14:34:52 +0000 2019,1137005003640594438,"Y’all. The World Cup starts today!!! I’ll be ready to socialize again in one month, while hopefully celebrating ano… https://t.co/wz2Hx2S9EB",75962389,Alex Lange
63,Fri Jun 07 14:34:50 +0000 2019,1137004996648718342,⏳Unas horas antes la Copa Mundial Femenina de la Football. Celebramos el notable éxito de las mujeres atletas. Está… https://t.co/JmlusrhzZ2,952104950,Francia en Guatemala
64,Fri Jun 07 14:34:45 +0000 2019,1137004974074978305,"RT @KickaroundMag: Today is the day! The #WWC2019 kicks off in Paris tonight – are your children's wallcharts in place?

If you don't have…",3289120200,Herefordstu
65,Fri Jun 07 14:34:30 +0000 2019,1137004913509187584,@AmandaBlev @YouTubeTV @Google @USWNT I purchased the guidebook and have fubo to record all of them! Looking forwar… https://t.co/4zv76yKUNM,30920073,Amy Lewis
66,Fri Jun 07 14:34:26 +0000 2019,1137004897973559296,Seen as @BBCMOTD and other media have the likes of @AlexScott as a pundit for top men's games I think it is only fa… https://t.co/4LravJgdNm,718456229727772672,Mike Green
67,Fri Jun 07 14:33:57 +0000 2019,1137004774010888192,"The wait is almost over for #WWC2019, but what's it like to actually win it?

Here's @USWNT head-coach Jill Ellis,… https://t.co/xkQvydrBTg",218290716,Jack Murley
68,Fri Jun 07 14:33:17 +0000 2019,1137004606683328513,#FridayMotivation RT @DalvaVeronica: The @FIFAWWC is my #FridayMotivation! #WorldWomensCup #WWC #WWC2019 #WWC19… https://t.co/5jghA8THku,92677101,Jorge Luis Lopez Esq
69,Fri Jun 07 14:46:59 +0000 2019,1137008055814692865,"RT @extra3: Heute beginnt die Frauen-WM. Wer keinen Bock hat auf Weichei-Fußball voller Diven, kann also froh sein, dass Bundesliga und Cha…",1000424952267444236,KnuffigerCarsto (TL Scrub) 🏳‍🌈
70,Fri Jun 07 14:46:55 +0000 2019,1137008037133205505,#WWC2019 starts today. Come on Canada! Bring it home! #CANWNT https://t.co/JTtN3PxBtd,362727949,Cody Fullerton
71,Fri Jun 07 14:46:46 +0000 2019,1137008002278576128,"RT @mercatomilan17: Oggi cominciano i Mondiali femminili di #Francia2019 🇫🇷.

Saranno 7 le Rossonere impegnate:

Laura #Fusetti 🇮🇹
Linda #T…",889160369868025856,Alessio Lombardi
72,Fri Jun 07 14:46:31 +0000 2019,1137007936343953408,TIL a coworker @jennifer_bisset is a former pro footballer! (That’s soccer to the Yanks out there.) Check out her a… https://t.co/ieXNewyLcN,6595682,Stephen Shankland
73,Fri Jun 07 14:45:52 +0000 2019,1137007774972256261,"This is almost taking me back to my university days, studying American history in class. When it is required by law… https://t.co/j56evGlVA9",67267427,Diana Yeow
74,Fri Jun 07 14:45:43 +0000 2019,1137007737043378176,"RT @extra3: Heute beginnt die Frauen-WM. Wer keinen Bock hat auf Weichei-Fußball voller Diven, kann also froh sein, dass Bundesliga und Cha…",1072501414621077504,weltraumaffe
75,Fri Jun 07 14:45:33 +0000 2019,1137007694265704449,"The Women’s World Cup starts today so this account is now an official Alex Morgan, Megan Rapinoe, Tobin Heath, Mall… https://t.co/NCjlMjGEXl",208739005,kino
76,Fri Jun 07 14:45:29 +0000 2019,1137007676876087296,"RT @extra3: Heute beginnt die Frauen-WM. Wer keinen Bock hat auf Weichei-Fußball voller Diven, kann also froh sein, dass Bundesliga und Cha…",2898667199,Michl🇨🇰🇸🇨🇧🇸
77,Fri Jun 07 14:45:29 +0000 2019,1137007675382927362,"RT @extra3: Heute beginnt die Frauen-WM. Wer keinen Bock hat auf Weichei-Fußball voller Diven, kann also froh sein, dass Bundesliga und Cha…",994281163530424320,"Lou's EF Kuscheltier 🤗♥️/* [CSD-Stuttgart,EWF19]⚡"
78,Fri Jun 07 14:45:03 +0000 2019,1137007568814059520,is the wc match going to be on fox? #WWC2019,708475084,Sam
79,Fri Jun 07 14:45:00 +0000 2019,1137007554771349505,"La #WWC2019 débute aujourd'hui avec #FRAKOR !
Pour l'occasion, je ressors des archives mon article dédié à cette co… https://t.co/Wb6HSCBtsY",1001738990653931520,Foot d'infographies
80,Fri Jun 07 14:44:47 +0000 2019,1137007500337790977,"RT @extra3: Heute beginnt die Frauen-WM. Wer keinen Bock hat auf Weichei-Fußball voller Diven, kann also froh sein, dass Bundesliga und Cha…",1124410642918719489,Cloudz64325
81,Fri Jun 07 14:44:22 +0000 2019,1137007397615087618,"Alors que ce #RG19 s'approche doucement de son terme, la Coupe du Monde Féminine va commencer ce soir. 🎾 ⚽🏆🇫🇷
L'enc… https://t.co/kAv3WDGMqm",2525435718,NikoO' ⭐6⃣🏆
